total_fare_without_tips,dayofweek,hourofday,monthoftrip,trip_duration,distance_travelled,euclidean_dist,longitude,latitude,taxi_company
18.0,Sat,18,4,1680,5.4,0.066209800425943044,0.042575012999989781,0.050706074000004264,Taxi Affiliation Services
15.5,Sat,3,4,720,4.5,0.052483166549860343,0.035297778000000335,0.038840052000004732,Taxi Affiliation Services
14.5,Sat,14,4,1080,4.2,0.055183918713406756,0.035232835999991607,0.042472487000004833,Taxi Affiliation Services
14.0,Sun,2,4,780,4.0,0.047059021644756435,0.03057834099999468,0.035770331000001931,Taxi Affiliation Services
14.25,Fri,19,4,1200,4.1,0.057738287080827594,0.029579417999997304,0.049585964000002036,Dispatch Taxi Affiliation
17.25,Thurs,23,4,1140,5.6,0.05385737487231395,0.023599157999996123,0.048411740000005921,Dispatch Taxi Affiliation
20.25,Sun,1,4,1500,6.0,0.059330531294799961,0.018634901999988074,0.056328077999999948,Dispatch Taxi Affiliation
22.5,Sat,1,4,1140,7.4,0.076007634033455382,0.018484702999998603,0.073725682000002735,Taxi Affiliation Services
12.5,Sat,20,4,1020,5.8,0.043451988026054274,0.03831103800000335,0.020502186000001643,KOAM Taxi Association
36.75,Tues,6,4,1560,14.3,0.24448052288953434,0.24159629300000063,0.037442719999994267,Top Cab Affiliation
36.75,Tues,6,4,1380,14.4,0.24448052288953434,0.24159629300000063,0.037442719999994267,Taxi Affiliation Services
36.25,Tues,6,4,1560,14.4,0.24448052288953434,0.24159629300000063,0.037442719999994267,Dispatch Taxi Affiliation
16.0,Sat,19,4,1500,4.2,0.049319825963301686,0.028197988000002283,0.040463795000000857,Choice Taxi Association
43.5,Mon,5,4,1500,17.2,0.19114436546041003,0.10382065500000692,0.16049124599999942,Choice Taxi Association
20.5,Sat,17,4,1860,5.0,0.064340558711049128,0.034168219999997973,0.054518256000001486,Taxi Affiliation Services
17.5,Sat,11,4,960,5.8,0.066819596138970844,0.026120720999998071,0.061502572000001976,Choice Taxi Association
20.25,Sat,2,4,780,6.3,0.066819596138970844,0.026120720999998071,0.061502572000001976,Dispatch Taxi Affiliation
20.0,Sat,15,4,1260,5.7,0.066819596138970844,0.026120720999998071,0.061502572000001976,Taxi Affiliation Services
17.25,Sun,3,4,900,5.2,0.066819596138970844,0.026120720999998071,0.061502572000001976,KOAM Taxi Association
15.5,Sun,13,4,720,5.1,0.066819596138970844,0.026120720999998071,0.061502572000001976,Taxi Affiliation Services
19.75,Fri,17,4,1200,5.5,0.066819596138970844,0.026120720999998071,0.061502572000001976,Taxi Affiliation Services
18.75,Fri,8,4,1200,6.2,0.079876002544484889,0.024940696999991019,0.075882391999996912,KOAM Taxi Association
14.499999999999998,Sat,2,4,780,4.5,0.057886192832401026,0.020898727999991706,0.0539819829999999,Top Cab Affiliation
16.75,Fri,17,4,1140,4.7,0.057392529564709562,0.018239476999994508,0.054417129000000841,Choice Taxi Association
21.0,Fri,1,4,960,6.8,0.07709098805426369,0.015707108999990282,0.075473883999997327,Dispatch Taxi Affiliation
18.5,Sat,2,4,1020,5.7,0.0565428780389358,0.015249683999996932,0.05444762799999836,Taxi Affiliation Services
17.0,Thurs,9,4,1140,5.5,0.0565428780389358,0.015249683999996932,0.05444762799999836,Taxi Affiliation Services
17.0,Sun,14,5,900,5.7,0.0565428780389358,0.015249683999996932,0.05444762799999836,KOAM Taxi Association
13.5,Wed,21,4,720,4.3,0.048598330567878704,0.015004413999989197,0.046224076999997976,Top Cab Affiliation
19.25,Thurs,18,4,1200,6.1,0.067052578329296439,0.014367144999994252,0.0654952929999979,Dispatch Taxi Affiliation
18.25,Thurs,9,4,1740,4.8,0.067052578329296439,0.014367144999994252,0.0654952929999979,Taxi Affiliation Services
19.0,Fri,17,4,1320,5.7,0.067052578329296439,0.014367144999994252,0.0654952929999979,Taxi Affiliation Services
18.75,Sat,17,4,1440,4.9,0.0540738180179572,0.0092694239999957517,0.053273404000002245,Taxi Affiliation Services
17.25,Sat,3,4,900,5.2,0.0540738180179572,0.0092694239999957517,0.053273404000002245,Taxi Affiliation Services
16.25,Mon,9,4,1320,4.9,0.0540738180179572,0.0092694239999957517,0.053273404000002245,Taxi Affiliation Services
15.25,Sat,19,4,840,4.2,0.045759374196858264,0.0087096219999978075,0.04492285399999929,Taxi Affiliation Services
14.0,Sun,4,4,960,4.3,0.061341005840581275,0.0043051679999877024,0.061189741999996272,Choice Taxi Association
19.25,Fri,8,4,1260,6.4,0.061341005840581275,0.0043051679999877024,0.061189741999996272,Taxi Affiliation Services
20.75,Sat,19,4,1080,6.4,0.061341005840581275,0.0043051679999877024,0.061189741999996272,Taxi Affiliation Services
15.5,Sat,18,4,780,4.0,0.041648258887641072,0.0027935920000032866,0.041554462000000569,Taxi Affiliation Services
12.25,Sun,11,5,900,4.0,0.041648258887641072,0.0027935920000032866,0.041554462000000569,Choice Taxi Association
14.25,Sat,23,4,900,4.2,0.032482342864898109,0.006893395000005853,0.031742459000000167,Dispatch Taxi Affiliation
14.0,Fri,2,4,900,4.2,0.043809369834467878,0.018224026000012827,0.039838998000000458,Taxi Affiliation Services
15.25,Sun,13,4,1140,4.6,0.044948783545675164,0.023831441000012887,0.038111094999997874,Chicago Medallion Leasing INC
15.0,Sat,3,4,660,4.1,0.053657925511838137,0.04688742700000148,0.026091036000003953,Choice Taxi Association
38.75,Tues,10,4,1920,14.8,0.25799158223880142,0.255926027000001,0.032581055999997943,Taxi Affiliation Services
36.75,Sat,8,4,1620,14.4,0.25799158223880142,0.255926027000001,0.032581055999997943,Taxi Affiliation Services
26.75,Sat,19,4,1680,9.5,0.088576843482674833,0.041069104000001744,0.078480480999999713,Dispatch Taxi Affiliation
20.5,Fri,9,4,1800,6.0,0.083080277076680989,0.026713075000003528,0.078668571000001464,Dispatch Taxi Affiliation
44.25,Mon,7,5,2460,16.9,0.18442242029400691,0.06721618699999965,0.17173704700000059,Dispatch Taxi Affiliation
22.5,Sat,19,4,2040,5.8,0.0865573213237689,0.062955236999997055,0.059403770999999495,Dispatch Taxi Affiliation
27.25,Fri,9,4,2340,8.3,0.096056103966556838,0.062725189000005344,0.072748373000003141,Dispatch Taxi Affiliation
24.25,Sat,22,4,1500,7.1,0.086955628660628365,0.057503195999998979,0.065227784000001066,Choice Taxi Association
20.0,Sun,1,4,900,6.9,0.086955628660628365,0.057503195999998979,0.065227784000001066,Dispatch Taxi Affiliation
23.75,Fri,20,4,1860,7.5,0.10127588486271366,0.052311576999997556,0.086719684999998492,Taxi Affiliation Services
24.0,Sat,18,4,1620,7.2,0.083692769660332775,0.051854152000004206,0.065693428999999526,Taxi Affiliation Services
21.75,Sat,0,4,1140,7.0,0.0791652814121216,0.045873892000003025,0.06451920500000341,Dispatch Taxi Affiliation
18.5,Sat,20,4,1320,5.5,0.0831895799205439,0.040909635999994975,0.072435542999997438,Taxi Affiliation Services
15.0,Sat,0,4,1140,4.0,0.045515296093532838,0.027806253999997921,0.036034073000003275,Taxi Affiliation Services
19.75,Sat,20,4,1500,5.8,0.077143163355351416,0.026484902000007082,0.07245424500000297,Taxi Affiliation Services
19.5,Wed,17,4,1440,6.0,0.077143163355351416,0.026484902000007082,0.07245424500000297,Taxi Affiliation Services
32.0,Sat,7,4,1260,12.3,0.22035684547592937,0.21932155899999373,0.021335254999996778,Taxi Affiliation Services
20.75,Sat,20,4,1740,5.9,0.069425302160139243,0.023853783999996381,0.065198692999999253,Taxi Affiliation Services
15.5,Sun,1,5,1080,4.2,0.059701354878515495,0.013880303999997068,0.058065384999999026,Taxi Affiliation Services
15.0,Wed,16,4,1020,4.4,0.074667702724153864,0.0721250959999935,0.019319326000001524,Taxi Affiliation Services
22.25,Sat,15,4,1560,6.9,0.10493364111756733,0.084757369000001859,0.061864831999997705,Taxi Affiliation Services
18.0,Thurs,14,4,900,6.3,0.089229184445958856,0.079099846000005414,0.041292392999999095,Taxi Affiliation Services
16.25,Fri,19,4,1440,13.0,0.078912047997367119,0.076044099000000642,0.021080947000001515,Chicago Medallion Leasing INC
19.5,Wed,9,4,1380,6.8,0.10571433397752253,0.074545193000005838,0.074956884999998863,Taxi Affiliation Services
15.0,Thurs,22,4,900,4.7,0.073633541959894147,0.067213784000003329,0.030070014000003198,Dispatch Taxi Affiliation
14.25,Wed,11,4,900,4.5,0.077166837118766651,0.076138916999994422,0.01255332899999928,Dispatch Taxi Affiliation
19.0,Mon,21,4,1380,6.4,0.11476518515702146,0.11447825699998759,0.0081102649999991172,Chicago Medallion Leasing INC
14.75,Sat,23,4,780,4.9,0.0789481634944366,0.077863476999993964,0.01304191199999849,Dispatch Taxi Affiliation
17.75,Sun,1,4,960,5.6,0.069422815592237,0.065226299999991966,0.023770929999997747,Dispatch Taxi Affiliation
28.25,Sat,0,4,1020,10.3,0.16297122537207723,0.13886410599999977,0.085301702000002422,Northwest Management LLC
22.25,Wed,19,4,1140,7.9,0.13971116616963716,0.12813965299999097,0.055672608000001844,Dispatch Taxi Affiliation
23.25,Wed,19,4,1620,7.8,0.13971116616963716,0.12813965299999097,0.055672608000001844,Dispatch Taxi Affiliation
30.5,Fri,19,4,2640,10.6,0.14464948020377796,0.1170485529999894,0.084988871999996718,Northwest Management LLC
18.75,Sat,22,4,1260,6.6,0.10714477791057413,0.10606348999999682,0.015183528000001445,Dispatch Taxi Affiliation
19.5,Sat,22,4,1200,6.6,0.10714477791057413,0.10606348999999682,0.015183528000001445,Dispatch Taxi Affiliation
19.75,Sat,23,4,1200,6.2,0.10825164190054673,0.10555893499999058,0.023994357999995941,Dispatch Taxi Affiliation
17.5,Sun,23,4,840,5.9,0.10520089773542478,0.10305310999999051,0.021149123000000714,Northwest Management LLC
23.25,Sat,21,4,840,8.8,0.13325890538163268,0.1026238190000015,0.085007574000002251,Dispatch Taxi Affiliation
20.75,Sat,0,4,1260,6.7,0.10466989098438731,0.10255274899999733,0.0209456380000006,Dispatch Taxi Affiliation
17.75,Thurs,23,4,1260,5.5,0.10254448680518329,0.10251591200000121,0.0024206530000014936,Dispatch Taxi Affiliation
16.5,Sat,0,4,840,5.4,0.09602099991074052,0.095991522999995027,0.0023790620000028184,Dispatch Taxi Affiliation
20.25,Mon,15,4,1320,7.5,0.096418479301144847,0.09491929499999685,0.016936663999999269,Dispatch Taxi Affiliation
16.75,Sat,20,4,1140,4.5,0.083437861270594382,0.083278948000000241,0.0051471849999984443,Dispatch Taxi Affiliation
16.0,Thurs,21,4,1260,4.7,0.081042952594331891,0.081011052999997446,0.0022736439999988534,Dispatch Taxi Affiliation
14.75,Thurs,23,4,1020,4.4,0.081042952594331891,0.081011052999997446,0.0022736439999988534,Dispatch Taxi Affiliation
15.25,Tues,22,4,960,5.0,0.081042952594331891,0.081011052999997446,0.0022736439999988534,Dispatch Taxi Affiliation
16.25,Sat,18,4,1500,4.5,0.078888011802477509,0.0763507889999886,0.01984629500000068,Dispatch Taxi Affiliation
15.25,Thurs,22,4,900,5.0,0.0664531791744084,0.065760996999998156,0.0095664150000018822,Dispatch Taxi Affiliation
15.25,Sun,3,5,720,5.5,0.059916935442515633,0.054963532999991571,0.023854751999998314,Dispatch Taxi Affiliation
21.25,Sun,13,4,840,7.9,0.14345170335123036,0.1431826419999993,0.0087819259999974975,Dispatch Taxi Affiliation
48.5,Mon,9,4,5040,10.8,0.14345170335123036,0.1431826419999993,0.0087819259999974975,Northwest Management LLC
20.75,Sun,17,4,1020,7.5,0.14345170335123036,0.1431826419999993,0.0087819259999974975,Choice Taxi Association
23.25,Wed,18,4,1920,8.3,0.14345170335123036,0.1431826419999993,0.0087819259999974975,Dispatch Taxi Affiliation
20.0,Thurs,9,4,1980,5.6,0.10021697173625149,0.099467562999990378,0.012232961000002263,Dispatch Taxi Affiliation
16.0,Wed,21,4,1260,4.8,0.089938657832729751,0.089672468999992816,0.0069145120000015936,Dispatch Taxi Affiliation
24.5,Sun,18,4,1620,7.6,0.093344800502645778,0.044085361999989914,0.082278385000002174,Taxi Affiliation Services
19.5,Thurs,11,4,2040,5.6,0.0,0.0,0.0,Taxi Affiliation Services
27.0,Tues,16,4,2520,7.8,0.0,0.0,0.0,Chicago Medallion Leasing INC
18.75,Mon,15,4,1620,5.4,0.0,0.0,0.0,Taxi Affiliation Services
18.0,Mon,15,4,1440,4.4,0.0,0.0,0.0,Taxi Affiliation Services
30.0,Mon,10,4,3660,4.5,0.0,0.0,0.0,Taxi Affiliation Services
18.0,Fri,13,4,1680,4.2,0.0,0.0,0.0,Top Cab Affiliation
22.75,Wed,22,4,2220,5.6,0.0,0.0,0.0,Chicago Medallion Leasing INC
18.25,Wed,20,4,1560,4.8,0.0,0.0,0.0,Dispatch Taxi Affiliation
17.0,Fri,13,4,1620,4.3,0.0,0.0,0.0,Taxi Affiliation Services
15.75,Sun,2,4,780,4.6,0.051958915672618788,0.013605595000001358,0.050145954000001325,Taxi Affiliation Services
31.25,Sat,13,4,3240,7.9,0.051958915672618788,0.013605595000001358,0.050145954000001325,Taxi Affiliation Services
19.0,Sat,13,4,1260,5.3,0.064942922515128149,0.016798086999997963,0.0627328260000013,Taxi Affiliation Services
19.75,Sat,22,4,960,5.1,0.064942922515128149,0.016798086999997963,0.0627328260000013,Taxi Affiliation Services
16.0,Mon,8,4,900,4.9,0.064942922515128149,0.016798086999997963,0.0627328260000013,Taxi Affiliation Services
18.5,Tues,13,4,960,6.3,0.064942922515128149,0.016798086999997963,0.0627328260000013,Dispatch Taxi Affiliation
16.25,Tues,10,4,840,5.4,0.064942922515128149,0.016798086999997963,0.0627328260000013,Northwest Management LLC
16.5,Sun,11,4,720,5.5,0.064942922515128149,0.016798086999997963,0.0627328260000013,Choice Taxi Association
17.25,Mon,8,4,1020,5.3,0.064942922515128149,0.016798086999997963,0.0627328260000013,Taxi Affiliation Services
18.5,Sun,13,4,1440,4.7,0.064942922515128149,0.016798086999997963,0.0627328260000013,Dispatch Taxi Affiliation
17.75,Thurs,11,4,600,5.2,0.064942922515128149,0.016798086999997963,0.0627328260000013,Taxi Affiliation Services
14.75,Sat,12,4,720,4.7,0.064942922515128149,0.016798086999997963,0.0627328260000013,Taxi Affiliation Services
17.25,Fri,23,4,960,5.7,0.086994822122079,0.023340070000003266,0.083805370999996853,Dispatch Taxi Affiliation
19.75,Wed,17,4,1260,6.4,0.086994822122079,0.023340070000003266,0.083805370999996853,Taxi Affiliation Services
17.5,Mon,21,4,780,5.9,0.086994822122079,0.023340070000003266,0.083805370999996853,Taxi Affiliation Services
12.75,Thurs,15,4,960,8.7,0.032184747806530564,0.025290991999995072,0.019905368999999951,Chicago Medallion Leasing INC
9.5,Sat,15,4,660,4.0,0.032184747806530564,0.025290991999995072,0.019905368999999951,Northwest Management LLC
11.25,Mon,15,4,660,7.1,0.032184747806530564,0.025290991999995072,0.019905368999999951,Dispatch Taxi Affiliation
13.0,Tues,17,4,1080,8.7,0.032184747806530564,0.025290991999995072,0.019905368999999951,Chicago Medallion Leasing INC
14.5,Mon,12,4,840,4.0,0.032184747806530564,0.025290991999995072,0.019905368999999951,Top Cab Affiliation
17.25,Wed,15,4,1320,4.4,0.032184747806530564,0.025290991999995072,0.019905368999999951,KOAM Taxi Association
21.75,Fri,23,4,1140,6.9,0.094310738757178811,0.026607364000000189,0.090479631000000893,1085 - 72312 N and W Cab Co
23.5,Sat,11,4,1200,8.2,0.094310738757178811,0.026607364000000189,0.090479631000000893,Taxi Affiliation Services
22.25,Sun,18,5,960,7.9,0.10657836704149252,0.028020756000003644,0.10282891399999983,Taxi Affiliation Services
22.5,Sat,17,4,1680,6.8,0.084191670024599777,0.029424074999994332,0.0788825779999982,Taxi Affiliation Services
23.0,Sat,13,4,1620,6.7,0.088374883655782,0.029720502999992959,0.083227469999997084,Taxi Affiliation Services
20.0,Fri,17,4,1500,6.4,0.088374883655782,0.029720502999992959,0.083227469999997084,Choice Taxi Association
26.0,Sun,0,4,1560,8.6,0.088374883655782,0.029720502999992959,0.083227469999997084,Taxi Affiliation Services
16.75,Sat,21,4,660,5.6,0.080687926749793942,0.054087760000001595,0.059875335000000973,Taxi Affiliation Services
14.499999999999998,Thurs,22,4,1140,4.0,0.07441299815856639,0.057953615999991825,0.046676253999997641,Northwest Management LLC
17.75,Thurs,21,4,900,5.4,0.07441299815856639,0.057953615999991825,0.046676253999997641,Taxi Affiliation Services
16.5,Sat,20,4,960,4.7,0.07441299815856639,0.057953615999991825,0.046676253999997641,KOAM Taxi Association
14.25,Mon,23,4,720,4.2,0.07441299815856639,0.057953615999991825,0.046676253999997641,Taxi Affiliation Services
15.5,Sun,13,4,1020,5.0,0.07441299815856639,0.057953615999991825,0.046676253999997641,Dispatch Taxi Affiliation
16.25,Sun,11,4,780,5.3,0.07441299815856639,0.057953615999991825,0.046676253999997641,Taxi Affiliation Services
24.25,Thurs,18,4,2160,6.2,0.07441299815856639,0.057953615999991825,0.046676253999997641,Dispatch Taxi Affiliation
15.5,Sat,20,4,840,4.8,0.07441299815856639,0.057953615999991825,0.046676253999997641,Taxi Affiliation Services
48.25,Tues,15,4,2460,16.6,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
31.75,Fri,17,4,2460,9.6,0.15239101509415864,0.13357628299999647,0.073351197000000923,Northwest Management LLC
29.0,Fri,14,4,1680,10.8,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
28.0,Fri,14,4,1620,9.7,0.15239101509415864,0.13357628299999647,0.073351197000000923,Northwest Management LLC
28.75,Thurs,13,4,1500,10.8,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
31.25,Thurs,17,4,2700,10.3,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
30.0,Sat,16,4,2520,9.7,0.15239101509415864,0.13357628299999647,0.073351197000000923,KOAM Taxi Association
28.75,Sat,18,4,1260,10.9,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
30.5,Thurs,14,4,1680,11.4,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
28.75,Fri,13,4,1500,9.4,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
28.500000000000004,Fri,13,4,1620,9.7,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
30.249999999999996,Thurs,15,4,2280,10.6,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
28.0,Fri,13,4,1500,9.4,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
28.500000000000004,Thurs,17,4,2280,9.6,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
31.5,Thurs,15,4,2340,11.3,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
27.5,Thurs,14,4,1380,10.1,0.15239101509415864,0.13357628299999647,0.073351197000000923,Choice Taxi Association
26.5,Thurs,9,4,1140,9.8,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
27.25,Thurs,15,4,2040,9.5,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
29.5,Thurs,13,4,1380,10.6,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
27.5,Thurs,17,4,2460,9.4,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
28.0,Fri,9,4,1200,10.6,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
27.0,Thurs,14,4,1320,9.7,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
26.249999999999996,Fri,10,4,1080,9.4,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
27.0,Fri,5,4,960,9.6,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
28.25,Fri,17,4,2100,9.8,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
25.75,Fri,13,4,1440,9.6,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
29.25,Sun,12,4,1200,11.1,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
29.25,Fri,7,4,1080,9.9,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
29.5,Fri,9,4,1140,10.4,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
26.25,Sun,15,4,1500,9.4,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
28.25,Fri,12,4,1500,10.6,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
28.75,Thurs,10,4,1080,11.0,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
28.0,Tues,11,4,1320,10.3,0.15239101509415864,0.13357628299999647,0.073351197000000923,Northwest Management LLC
29.5,Tues,18,4,2040,9.7,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
26.0,Mon,20,4,900,9.9,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
29.25,Tues,10,4,1200,10.0,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
25.75,Tues,14,4,1260,9.7,0.15239101509415864,0.13357628299999647,0.073351197000000923,Northwest Management LLC
30.0,Tues,11,4,1260,9.7,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
29.249999999999996,Tues,16,4,2400,10.6,0.15239101509415864,0.13357628299999647,0.073351197000000923,Choice Taxi Association
26.75,Tues,18,4,2160,9.6,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
25.25,Tues,20,4,900,9.4,0.15239101509415864,0.13357628299999647,0.073351197000000923,Northwest Management LLC
26.0,Tues,15,4,1800,9.4,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
27.0,Mon,7,4,1560,9.7,0.15239101509415864,0.13357628299999647,0.073351197000000923,KOAM Taxi Association
33.5,Tues,16,4,2280,10.3,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
30.249999999999996,Thurs,14,4,1320,9.9,0.15239101509415864,0.13357628299999647,0.073351197000000923,Choice Taxi Association
28.25,Tues,16,4,2520,9.5,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
28.500000000000004,Tues,15,4,2100,9.7,0.15239101509415864,0.13357628299999647,0.073351197000000923,KOAM Taxi Association
27.250000000000004,Tues,16,4,2160,9.8,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
27.75,Mon,7,4,1140,10.7,0.15239101509415864,0.13357628299999647,0.073351197000000923,Choice Taxi Association
25.75,Sun,6,4,960,9.8,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
33.25,Fri,7,4,1140,11.8,0.15239101509415864,0.13357628299999647,0.073351197000000923,Top Cab Affiliation
26.75,Mon,12,4,1080,9.6,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
28.0,Mon,16,4,1980,11.4,0.15239101509415864,0.13357628299999647,0.073351197000000923,Northwest Management LLC
28.249999999999996,Fri,11,4,1080,9.7,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
29.0,Mon,14,4,1140,10.2,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
28.0,Fri,9,4,1080,11.0,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
27.0,Sun,16,4,1500,10.0,0.15239101509415864,0.13357628299999647,0.073351197000000923,Choice Taxi Association
28.0,Thurs,13,4,1500,9.6,0.15239101509415864,0.13357628299999647,0.073351197000000923,KOAM Taxi Association
26.75,Thurs,15,4,2040,9.7,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
27.5,Thurs,13,4,1740,9.7,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
28.5,Fri,9,4,1140,10.2,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
36.25,Mon,18,4,1860,12.1,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
25.0,Thurs,4,4,840,9.5,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
28.0,Thurs,12,4,1380,10.0,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
28.75,Mon,13,4,1320,10.8,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
31.0,Thurs,15,4,1980,9.6,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
33.0,Thurs,16,4,2280,9.5,0.15239101509415864,0.13357628299999647,0.073351197000000923,Chicago Medallion Leasing INC
44.25,Thurs,15,4,3660,15.3,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
29.25,Fri,20,4,1620,10.0,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
29.750000000000004,Wed,16,4,2820,10.1,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
26.5,Wed,15,4,1860,9.6,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
28.999999999999996,Wed,17,4,2640,9.7,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
32.25,Thurs,13,4,1680,9.7,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
28.5,Fri,14,4,1860,10.8,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
29.5,Wed,15,4,2160,10.9,0.15239101509415864,0.13357628299999647,0.073351197000000923,KOAM Taxi Association
26.5,Wed,13,4,1500,9.9,0.15239101509415864,0.13357628299999647,0.073351197000000923,Choice Taxi Association
27.0,Wed,15,4,2160,9.5,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
27.5,Wed,16,4,2520,9.7,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
29.25,Fri,15,4,2280,10.2,0.15239101509415864,0.13357628299999647,0.073351197000000923,Choice Taxi Association
29.75,Wed,16,4,2700,9.8,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
30.5,Thurs,16,4,2460,11.1,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
34.0,Wed,17,4,3240,10.6,0.15239101509415864,0.13357628299999647,0.073351197000000923,Taxi Affiliation Services
28.5,Wed,15,4,2100,10.5,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
29.5,Wed,19,4,1920,9.9,0.15239101509415864,0.13357628299999647,0.073351197000000923,Top Cab Affiliation
27.0,Wed,12,4,1320,9.9,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
48.0,Wed,16,4,4020,16.0,0.15239101509415864,0.13357628299999647,0.073351197000000923,0118 - 42111 Godfrey S.Awir
28.0,Wed,17,4,2580,9.8,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
30.249999999999996,Thurs,11,4,1380,11.2,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
26.0,Thurs,14,4,1380,18.9,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
29.5,Thurs,17,4,2640,9.9,0.15239101509415864,0.13357628299999647,0.073351197000000923,Choice Taxi Association
26.75,Thurs,16,4,2040,9.6,0.15239101509415864,0.13357628299999647,0.073351197000000923,Dispatch Taxi Affiliation
